artist_name,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays
Cafuné,62.44,86.65,90.14,4403.8,20,31517904
Cage the Elephant,23.61,44.97,57.91,1008.0,20,102764118
Calvin Harris,9.81,25.0,43.74,680.8,20,118466418
Cameron Winter,25.06,49.93,65.54,1230.9,20,18094528
Camila Cabello,7.79,31.04,47.23,670.7,20,82259389
Car Seat Headrest,15.34,31.49,43.52,683.9,20,94160391
Cardi B,22.36,43.17,59.25,984.1,20,66552282
Cavetown,16.28,38.86,54.82,839.6,20,57518714
Chappell Roan,18.02,36.23,54.99,857.6,20,325429361
Charli xcx,10.31,28.93,42.98,624.6,20,322830080
Charlie Puth,9.96,71.56,80.21,3062.8,20,113038636
Chase Atlantic,13.25,36.08,51.37,749.1,20,128473848
Chevelle,17.23,44.37,55.96,895.6,20,35814433
Chief Keef,21.56,41.83,60.8,986.8,20,67212767
Childish Gambino,13.56,34.15,57.18,811.4,20,209794449
Chris Brown,11.67,34.2,48.07,710.1,20,67820171
Chris Isaak,67.45,77.47,84.04,4646.8,20,25366132
Christina Aguilera,14.07,30.15,44.35,702.7,20,71449577
Cigarettes After Sex,17.06,38.19,56.52,834.7,20,243336115
Clairo,10.49,29.97,44.75,684.6,20,254503595
Clean Bandit,27.62,56.94,74.17,1451.8,20,41552999
Cocteau Twins,17.28,41.44,53.43,832.8,20,98652984
Coldplay,10.63,30.64,44.63,675.7,20,362712116
Conan Gray,13.3,29.66,46.08,668.6,20,160677649
Creed,24.05,49.5,68.51,1171.9,20,44825117
Creedence Clearwater Revival,19.4,44.82,55.45,910.8,20,92974215
Crowded House,55.96,70.69,77.84,3309.6,20,25102727
Crystal Castles,12.71,29.09,41.72,623.8,20,131029429
Current Joys,17.32,51.59,73.75,1248.3,20,57674713
DJ Khaled,17.1,34.94,57.14,857.3,20,36974468
DJ Snake,23.82,46.56,58.5,1106.1,20,40709204
Daft Punk,10.6,25.82,41.45,615.8,20,176472439
Daniel Caesar,13.14,32.67,45.68,671.9,20,168546472
Daryl Hall & John Oates,26.02,46.24,60.47,1131.9,20,7760736
Dave,20.36,36.39,47.69,809.7,20,50958007
David Bowie,12.78,26.84,38.33,597.1,20,101636928
David Guetta,11.38,34.08,50.14,702.4,20,89373124
Dean Blunt,19.77,45.29,58.32,976.7,20,39091627
Deftones,9.42,28.24,45.44,628.1,20,290094830
Demi Lovato,16.52,37.31,51.25,767.6,20,82019367
Denzel Curry,15.83,29.98,41.14,657.3,20,66398825
Depeche Mode,21.15,34.98,48.48,828.5,20,106011134
Destroy Lonely,13.96,32.94,46.9,697.4,20,83423161
Dire Straits,25.46,45.35,60.2,1073.1,20,77196330
Disclosure,29.92,48.94,62.91,1290.6,20,44672149
Djo,44.57,60.23,68.85,2222.2,20,74666542
Doechii,21.0,43.39,60.37,1013.4,20,74401935
Doja Cat,9.69,25.77,38.84,591.8,20,293393600
Dominic Fike,21.66,40.22,52.8,906.6,20,101843714
Don Omar,28.88,51.94,61.84,1296.5,20,25315072
Don Toliver,11.56,31.13,44.79,682.3,20,136113004
Dr. Dre,18.53,46.05,62.46,981.7,20,56685083
Drake,8.72,24.36,34.88,579.1,20,255762999
