artist_name,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays
Kid Cudi,12.62,32.97,51.99,764.0,20,110320157
KiiiKiii,24.31,51.23,71.26,1250.1,20,9019580
King Von,22.38,47.66,63.67,1048.8,20,41911579
Kings of Leon,21.53,44.82,53.84,950.1,20,152624537
Kodak Black,11.08,27.46,43.0,898.2,20,71715251
Korn,14.47,31.3,45.94,680.9,20,116013005
Kylie Minogue,21.57,34.77,43.81,888.9,20,64480831
LE SSERAFIM,8.47,26.86,37.93,753.7,20,231065083
Labi Siffre,28.86,65.73,77.51,1687.5,20,14538482
Labrinth,17.5,40.13,56.8,944.2,20,58987213
Lady Gaga,9.41,25.47,36.89,599.8,20,437382795
Lana Del Rey,6.96,18.57,31.87,522.1,20,491524028
Laufey,17.37,36.83,54.4,800.0,20,155686131
Lauv,16.98,33.02,45.88,1004.6,20,54595606
Led Zeppelin,11.4,24.78,36.8,572.7,20,123509152
Leon Thomas,41.17,56.36,67.73,1952.3,20,17472686
Lil Baby,12.3,32.99,48.03,674.2,20,93080083
Lil Nas X,15.79,44.09,55.0,916.3,20,97318644
Lil Peep,9.29,35.34,48.97,714.8,20,166048470
Lil Tecca,10.67,33.63,45.2,670.1,20,96254376
Lil Uzi Vert,14.05,34.34,48.11,711.1,20,182629010
Lil Wayne,26.28,48.44,65.6,1184.5,20,10296731
Lil Yachty,16.48,33.95,45.75,724.6,20,79807971
Lily Allen,17.25,36.44,53.61,785.9,20,83252875
Limp Bizkit,19.47,40.48,57.02,904.5,20,116427099
Linkin Park,10.8,28.62,41.78,610.6,20,360018481
Lisa,19.93,41.72,66.35,1039.1,20,104954409
Lit,75.32,83.95,87.82,5736.6,20,12104825
Little Mix,10.46,25.4,39.24,590.7,20,55949344
Lizzy McAlpine,25.76,43.99,60.6,1079.9,20,74530196
Lola Young,41.94,63.0,71.89,2090.9,20,23423947
Lord Huron,54.76,68.24,76.07,3163.7,20,56006340
Lorde,7.32,26.02,37.9,601.8,20,292918984
Lucki,39.53,82.64,91.77,2576.2,20,2610150
Lykke Li,12.89,35.7,50.35,723.1,20,60240328
MF DOOM,13.46,35.87,54.4,817.0,20,99461665
MGMT,18.25,49.37,65.42,1061.6,20,179556155
Mac DeMarco,11.86,35.19,52.01,744.7,20,228490271
Mac Miller,11.63,26.92,37.38,594.5,20,184035202
Madison Beer,16.34,33.71,47.18,728.0,20,67761348
Madonna,13.44,30.65,42.88,651.8,20,117852953
Magdalena Bay,10.49,30.9,40.94,623.8,20,76974113
Major Lazer,24.6,47.09,60.23,1106.7,20,38936999
Malcolm Todd,14.38,40.0,57.62,836.0,20,59296177
Mariah Carey,20.08,42.43,56.39,906.2,20,101202646
Marina,14.73,36.24,51.47,747.0,20,104181692
Marina Sena,7.33,24.6,37.83,564.3,20,63859153
Mark Ronson,19.66,60.13,73.91,1435.4,20,36526414
Maroon 5,11.86,28.04,43.88,649.4,20,168782635
Marshmello,13.88,34.37,52.57,776.3,20,52318590
Marvin Gaye,20.12,40.87,55.84,920.8,20,57062581
Massive Attack,18.04,39.03,50.4,845.9,20,101849541
Matt Maltese,24.52,55.65,70.34,1294.1,20,52712515
Mazzy Star,36.85,52.11,62.4,1637.9,20,89272142
Megan Thee Stallion,6.09,17.51,26.77,1198.2,20,108056420
Melanie Martinez,7.83,19.93,32.38,530.2,20,129298161
Men I Trust,32.69,48.75,61.04,1389.2,20,82634897
Metallica,10.94,30.66,45.14,635.0,20,170690879
Metric,15.46,36.64,50.19,743.3,20,60288801
Metro Boomin,9.2,30.75,44.0,642.6,20,193814476
Michael Jackson,14.57,32.89,44.25,672.6,20,171304855
Migos,16.24,35.98,50.14,765.9,20,47403931
Miguel,25.76,54.24,71.63,1366.7,20,62140274
Miley Cyrus,10.84,25.8,41.64,639.4,20,146529655
Mindless Self Indulgence,14.63,29.82,41.94,671.5,20,68154929
Mitski,13.8,32.52,45.88,668.1,20,359774975
Modern Baseball,16.84,40.74,54.22,816.1,20,60361641
Mother Mother,14.53,36.35,53.47,837.6,20,71578746
Mumford & Sons,15.7,36.78,49.02,737.0,20,96860899
Muse,13.45,31.15,45.35,655.4,20,260754682
My Chemical Romance,8.88,25.54,39.36,568.5,20,302239579
Måneskin,13.68,39.7,52.6,804.1,20,75428064
NLE Choppa,13.41,31.79,47.35,696.3,20,41939492
NMIXX,12.36,32.84,47.07,681.0,20,66133463
Nas,16.03,38.64,50.81,786.6,20,65271122
Natasha Bedingfield,45.18,76.75,84.07,2714.3,20,35791971
Ne-Yo,16.5,46.73,66.52,1070.5,20,49561632
Nelly Furtado,24.84,70.31,80.71,1750.0,20,88741610
New Order,18.89,40.47,56.96,895.8,20,54184653
NewJeans,9.16,29.43,45.32,703.1,20,319635894
Nickelback,17.86,34.61,47.05,763.3,20,90350084
Nicki Minaj,12.33,31.91,47.54,713.0,20,120028219
Nine Inch Nails,16.41,32.96,45.12,690.4,20,99398966
Nirvana,11.99,30.86,44.69,654.9,20,344058179
No Doubt,24.74,50.44,64.78,1179.1,20,61027754
Noah Kahan,17.24,30.56,41.52,686.0,20,109149633
Oasis,17.38,35.84,49.39,768.9,20,143744632
Odetari,10.87,31.15,50.02,722.0,20,53603520
Offset,33.39,53.83,63.47,1485.3,20,35979194
Olivia Dean,13.29,38.4,52.54,782.7,20,58075155
Olivia Rodrigo,8.18,22.04,35.47,547.5,20,435995857
Omar Apollo,21.41,39.39,49.64,854.1,20,42396433
One Direction,9.94,26.8,39.0,581.2,20,143945668
OneRepublic,21.95,38.67,55.31,927.0,20,90409360
OsamaSon,6.56,25.65,37.3,569.9,20,49622046
OutKast,20.85,51.05,64.45,1160.2,20,84874439
Ozzy Osbourne,21.04,41.44,56.6,914.5,20,50718941
P!nk,12.28,31.87,44.71,662.7,20,66633094
PARTYNEXTDOOR,20.31,35.31,47.95,827.1,20,105867040
PEDRO SAMPAIO,10.88,29.65,46.15,686.0,20,25562547
Panchiko,19.25,45.78,59.15,971.2,20,70632160
Panic! at the Disco,13.28,28.56,39.74,617.7,20,166788787
Pantera,12.9,34.05,46.71,697.5,20,77359620
Paramore,12.07,28.77,42.44,641.6,20,304049341
Pearl Jam,15.82,41.89,56.08,843.9,20,112211723
Phantogram,19.45,47.74,66.38,1127.6,20,35835077
Pharrell Williams,10.44,37.92,52.13,835.4,20,37009649
Phoebe Bridgers,11.34,27.58,42.24,616.6,20,243479437
Pierce the Veil,13.2,29.23,43.47,625.4,20,157767314
Pink Floyd,11.96,27.79,43.11,622.6,20,215389492
PinkPantheress,15.94,33.15,43.56,717.2,20,221729615
Pitbull,11.14,34.53,49.19,781.4,20,74641897
Pixies,13.87,32.45,48.62,707.4,20,128631375
Playboi Carti,8.54,24.18,39.14,561.9,20,292633098
Portishead,14.5,32.83,44.69,670.7,20,102925992
Post Malone,13.32,31.2,43.2,641.6,20,193648106
Prince,18.47,43.88,57.22,915.6,20,42169565
Queen,9.41,24.77,36.09,562.7,20,171867334
Queens of the Stone Age,16.85,38.94,50.83,794.1,20,109606591
R.E.M.,30.28,46.13,59.5,1258.2,20,70951569
RAYE,28.09,55.13,70.5,1444.7,20,47615475
RM,3.28,34.32,41.24,1308.3,20,434568386
ROLE MODEL,13.17,30.78,43.76,655.4,20,38262510
ROSALÍA,8.36,27.37,37.88,587.0,20,104110632
Radiohead,9.85,25.89,37.2,582.5,20,599273972
Rae Sremmurd,17.96,50.98,70.52,1138.2,20,38436731
Rage Against the Machine,17.98,35.54,47.41,768.5,20,109928709
Rammstein,13.15,29.2,40.88,621.7,20,131838283
Rauw Alejandro,11.17,30.07,44.23,645.7,20,47741729
Ravyn Lenae,45.76,61.62,71.64,2348.4,20,37216221
Red Hot Chili Peppers,10.65,30.76,49.48,706.5,20,260725214
Red Velvet,12.5,31.79,41.97,649.9,20,115816197
Reneé Rapp,10.39,27.92,42.72,626.5,20,57500500
Rex Orange County,11.65,35.88,52.53,744.5,20,92547428
Rihanna,6.56,20.71,34.5,549.1,20,294362127
Rosé,26.41,55.67,72.31,1355.2,20,102983202
SZA,12.93,28.22,39.39,604.5,20,342255453
Sabrina Carpenter,13.49,30.01,44.08,655.1,20,402789960
Sade,11.31,39.25,51.0,777.6,20,93589175
Sam Fender,15.87,33.64,44.44,711.2,20,28736751
Sam Smith,14.67,40.96,58.38,871.3,20,80980804
ScHoolboy Q,25.35,42.28,54.92,1042.2,20,46043093
Sean Paul,22.05,53.05,66.15,1181.1,20,35329335
Selena Gomez,6.29,19.25,37.1,571.2,20,110457876
Selena Gomez & the Scene,35.46,58.89,72.11,1698.9,20,44272545
Seventeen,8.78,24.71,36.88,582.6,20,95093459
Shakira,15.17,38.37,52.5,787.0,20,78515076
Shawn Mendes,11.1,33.24,50.91,720.0,20,91358992
She & Him,23.41,43.21,52.96,986.3,20,31635139
Sia,17.62,38.44,57.69,862.4,20,86889997
Sienna Spiro,46.27,75.21,82.59,2624.9,20,5490892
Slayyyter,11.83,26.18,37.62,587.3,20,32166162
Sleep Token,10.16,23.39,36.41,565.1,20,90897157
Sleeping With Sirens,22.1,44.86,57.73,989.1,20,48621202
Slipknot,12.74,31.37,46.14,668.8,20,190049338
Slowdive,23.41,45.71,59.23,1031.4,20,110854416
Snoop Dogg,13.08,44.82,59.09,953.3,20,33972275
Snow Strippers,31.14,52.02,64.57,1372.1,20,39644577
Sonder,21.8,47.29,62.17,1072.5,20,48635131
Soundgarden,34.43,52.92,61.23,1504.3,20,66287690
Steely Dan,14.43,36.92,53.77,760.4,20,47291969
Steve Lacy,16.11,39.79,57.04,839.2,20,245862465
Stevie Wonder,9.61,28.5,42.6,632.3,20,59916057
Stone Temple Pilots,12.94,30.73,47.45,691.7,20,43459789
Strawberry Guy,34.89,61.45,79.71,1834.2,20,49763363
Stray Kids,9.81,23.24,38.54,600.8,20,133086297
Sublime,21.67,44.42,57.91,960.2,20,79881604
Sufjan Stevens,12.72,29.75,45.62,675.7,20,125987636
Suki Waterhouse,45.42,61.64,73.46,2327.1,20,47506222
Summer Walker,11.91,29.49,43.02,628.5,20,70201019
Surf Curse,52.25,81.49,86.22,3439.5,20,42155089
Swedish House Mafia,37.08,59.41,70.03,1785.5,20,39397179
System of a Down,12.9,33.08,48.12,674.8,20,265931899
TOMORROW X TOGETHER,11.58,26.4,38.72,605.2,20,195439478
TV Girl,19.71,46.99,61.91,1011.4,20,249345011
TWICE,10.05,25.44,36.18,578.6,20,188533869
Talking Heads,10.5,31.78,53.88,774.6,20,59828291
Tame Impala,17.17,36.16,52.33,790.3,20,274610090
Tate McRae,12.91,29.75,44.82,679.8,20,184496719
Taylor Swift,5.56,19.0,34.57,593.8,20,500399826
Tears for Fears,41.21,62.16,77.91,2084.4,20,76277823
The 1975,10.42,31.92,47.49,699.4,20,158225500
The All-American Rejects,20.39,52.88,67.38,1142.9,20,63811826
The Beach Boys,16.37,32.58,47.07,704.9,20,52030197
The Beatles,7.79,18.94,29.89,516.4,20,164478319
The Cardigans,32.57,65.15,75.44,1719.6,20,62194112
The Chainsmokers,18.62,45.95,66.46,1043.4,20,61923186
The Clash,15.41,34.41,48.08,711.1,20,73742867
The Cranberries,18.65,59.53,73.07,1463.4,20,113611141
The Cure,15.68,44.24,55.09,862.1,20,168328518
The Doors,11.02,28.29,41.38,605.3,20,120959443
The Goo Goo Dolls,35.34,54.55,65.9,1598.1,20,23995371
The Kid LAROI,20.99,44.05,59.25,1044.4,20,99765309
The Killers,21.45,43.97,56.6,949.4,20,232537602
The Living Tombstone,21.13,46.17,63.11,1039.3,20,41386315
The Lumineers,21.52,48.19,63.18,1078.9,20,70672666
The Marías,18.36,38.53,47.36,787.5,20,174541325
The Neighbourhood,18.28,39.2,52.44,827.4,20,267743114
The Notorious B.I.G.,17.06,41.38,52.69,859.9,20,52058628
The Offspring,15.5,35.63,55.06,818.7,20,112011008
The Police,30.98,57.82,69.85,1475.8,20,84655633
The Pussycat Dolls,20.18,51.67,71.13,1179.3,20,41096643
The Rolling Stones,14.77,34.57,46.88,704.1,20,98649008
The Script,20.61,49.81,63.71,1134.6,20,58227310
The Smashing Pumpkins,14.69,26.77,39.05,646.0,20,116812171
The Smiths,11.98,31.74,48.87,699.4,20,249245778
The Strokes,10.1,27.03,43.83,620.4,20,269439328
The Sundays,17.2,43.01,57.2,906.3,20,41850638
The Weeknd,8.97,23.2,35.43,587.4,20,423524426
The White Stripes,25.93,44.82,57.22,1084.9,20,101826981
Thee Sacred Souls,23.57,51.06,68.2,1182.0,20,27446848
Three Days Grace,18.72,41.59,54.32,900.6,20,119290979
Thundercat,21.43,49.45,61.68,1102.2,20,55627213
Timbaland,35.54,63.41,73.0,1761.8,20,41470403
Title Fight,15.47,32.37,44.6,686.5,20,66917485
Toby Fox,10.92,26.91,38.86,595.0,20,42737214
Tool,8.92,23.36,36.29,564.6,20,120386910
Tory Lanez,30.45,45.99,59.0,1267.5,20,91584218
Toto,42.92,78.58,86.58,2667.1,20,43704332
Tove Lo,22.76,40.03,53.25,947.2,20,65930151
Travis Scott,8.21,16.46,22.49,1074.4,20,5101601
Trippie Redd,12.38,28.17,43.0,644.9,20,74025330
Troye Sivan,17.6,41.49,53.73,859.7,20,116464621
Twenty One Pilots,13.38,31.12,43.66,642.9,20,160046210
Ty Dolla $ign,31.61,53.23,65.49,1418.5,20,19821084
Tyla,23.02,50.26,65.41,1143.2,20,47876024
"Tyler, The Creator",12.89,28.98,41.81,622.0,20,435420045
U2,13.72,34.85,50.1,716.5,20,90295305
Usher,14.39,39.6,56.36,827.8,20,59945183
V,19.85,37.28,53.01,1146.5,20,709574215
VACATIONS,30.01,64.26,75.86,1715.5,20,64916114
Vance Joy,53.1,70.18,79.29,3050.2,20,44286181
Waka Flocka Flame,54.55,74.65,80.59,3246.7,20,14417967
Wallows,25.8,45.55,59.48,1085.8,20,90706293
Weezer,14.86,37.0,46.26,733.2,20,153159403
Wet Leg,23.08,45.12,57.43,1003.1,20,25560676
Willow,32.37,57.69,67.96,1522.0,20,53303763
Wiz Khalifa,18.38,43.14,65.64,1164.1,20,35760038
Wolf Alice,14.45,31.36,44.7,672.0,20,36848281
XG,14.0,38.7,50.5,778.0,20,58966545
