artist_name,was_on_chart,listeners,playcount,total_events,events_last_year,total_chart_streams,chart_weeks,peak_position,first_chart_date,last_chart_date
Don Toliver,True,2440803,255139710,35,,319472218.0,27.0,45.0,2023-04-27,2026-02-26
Drake,True,6646671,1128317449,12,,963750145.0,36.0,15.0,2023-02-23,2026-02-26
Duran Duran,False,3130713,75127293,7,,,,,,
Eagles,True,3790002,78088244,10,1.0,39006993.0,2.0,51.0,2023-12-28,2024-12-26
"Earth, Wind & Fire",False,2910579,48196406,47,,,,,,
Ed Sheeran,True,4161226,252630630,28,,904715982.0,32.0,19.0,2023-02-23,2026-02-26
Electric Light Orchestra,False,2943981,75934610,9,1.0,,,,,
Elton John,True,5171397,161015546,1,,229239231.0,17.0,24.0,2023-02-23,2024-12-26
Eminem,True,7726026,561177490,2,,777201020.0,36.0,12.0,2023-02-23,2026-02-26
Empire of the Sun,True,2984014,76705630,11,,66675164.0,7.0,110.0,2025-03-27,2026-02-26
EsDeeKid,True,875817,54620316,4,,88927760.0,4.0,41.0,2025-11-27,2026-02-26
Ethel Cain,False,1240159,145826203,28,,,,,,
Evanescence,True,4440482,214331242,39,,102520227.0,11.0,90.0,2025-05-01,2026-02-26
Exo,False,1033112,165379088,1,,,,,,
FKA twigs,False,1644501,148770286,22,,,,,,
Fetty Wap,True,1668347,32003000,1,,11018120.0,1.0,92.0,2026-01-29,2026-01-29
Fleetwood Mac,True,4808547,289097731,2,,258504205.0,19.0,37.0,2023-08-31,2026-02-26
Flo Rida,False,4118878,75015990,9,,,,,,
Fontaines D.C.,False,1068219,74600803,3,,,,,,
Foo Fighters,False,6313148,359676961,23,,,,,,
Foster the People,True,3687798,117884199,2,,9172922.0,1.0,188.0,2024-05-30,2024-05-30
Frank Sinatra,True,4885987,179271799,35,,161744561.0,3.0,21.0,2023-11-30,2024-12-26
Franz Ferdinand,False,4831912,179077783,14,1.0,,,,,
Freddie Gibbs,False,1278766,107699731,20,,,,,,
Future,True,3171840,449794315,1,,596742628.0,21.0,4.0,2023-02-23,2025-03-27
Geese,False,511461,33999772,23,,,,,,
Gigi Perez,True,1363612,47691976,30,,391915013.0,19.0,8.0,2024-08-29,2026-02-26
Givēon,False,688767,24836079,8,,,,,,
Gorillaz,True,6779023,501969515,41,,158683224.0,15.0,53.0,2023-03-30,2026-02-26
Grimes,False,2627478,193603349,1,,,,,,
Gunna,True,1779003,176439461,11,,237144034.0,17.0,10.0,2023-06-29,2024-12-26
Guns N' Roses,True,5142461,201524320,40,,86446301.0,10.0,129.0,2025-05-01,2026-02-26
Gwen Stefani,True,4408955,87886325,2,,32486495.0,2.0,63.0,2023-12-28,2024-12-26
Halsey,True,2774603,218583046,6,,116152151.0,13.0,76.0,2025-01-30,2026-02-26
