artist_name,total_events,weekend_events,countries,cities,pct_weekend,lead_time_days,touring_status,future_events,pct_future_events,events_last_year,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,capital_events,non_capital_events,pct_capital,capital_ratio,unique_capitals,unique_non_capitals,pct_capital_cities,avg_days_between_shows,top1_share,top3_share,top5_share,hhi,n_tracks,total_track_plays,listeners,playcount,tags
Artemas,7,2,2,7,28.57,,active_tour,5,71.43,2.0,0,7,0.0,0.0,0.0,New York,1,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.8,39.33,65.75,76.11,2136.6,20.0,41476744.0,1581554,51828950,"pop, british, rnb, indie, dark pop"
Ashnikko,32,7,5,32,21.88,183.0,active_tour,32,100.0,,0,32,0.0,0.0,0.0,Nashville,1,0.0,32.0,0.0,0.0,0.0,32.0,0.0,6.2,16.5,37.75,48.84,758.6,20.0,41666387.0,1439477,62788146,"pop, electronic, electropop, Hip-Hop, rap"
Avenged Sevenfold,16,5,2,16,31.25,224.0,active_tour,16,100.0,,0,16,0.0,0.0,0.0,Ridgedale,1,0.0,16.0,0.0,0.0,0.0,16.0,0.0,2.2,8.2,23.95,37.01,557.5,20.0,115566169.0,2845366,229075983,"metalcore, hard rock, metal, hardcore, rock"
BTS,39,21,7,16,53.85,90.0,active_tour,39,100.0,,16,0,100.0,,100.0,Las Vegas,4,6.0,33.0,15.38,0.182,3.0,13.0,18.75,3.5,16.06,36.9,52.76,918.6,20.0,1062636920.0,2320497,2991845082,"k-pop, bts, Kpop, Korean, pop"
Baby Keem,45,12,6,37,26.67,,active_tour,45,100.0,,7,30,18.92,0.233,33.33,San Francisco,3,3.0,42.0,6.67,0.071,3.0,34.0,8.11,3.5,18.83,41.1,59.31,910.4,20.0,149966783.0,1993022,196139840,"Hip-Hop, rap, trap, hip hop, west coast hip hop"
Bad Bunny,26,15,9,10,57.69,,active_tour,26,100.0,,8,2,80.0,4.0,92.31,Madrid,10,16.0,10.0,61.54,1.6,5.0,5.0,50.0,2.4,9.57,24.37,37.64,567.5,20.0,154811737.0,2487357,385409910,"Reggaeton, trap, latin, puerto rico, trap latino"
Bad Omens,20,6,4,16,30.0,154.0,active_tour,18,90.0,2.0,3,13,18.75,0.231,35.0,Derby,3,2.0,18.0,10.0,0.111,1.0,15.0,6.25,6.8,13.17,35.84,46.53,700.7,20.0,59678738.0,774007,84519831,"metalcore, post-hardcore, alternative metal, metal, alternative rock"
Bee Gees,1,1,1,1,100.0,134.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,San Leandro,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,13.15,41.97,55.38,856.6,20.0,47950901.0,3405065,68403145,"Disco, pop, 70s, classic rock, oldies"
Benson Boone,1,1,1,1,100.0,53.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Birmingham,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,25.3,50.71,67.17,1199.1,20.0,38574177.0,1459365,44546674,"pop, rock, pop rock, my top songs, singer-songwriter"
Big Thief,13,4,6,7,30.77,208.0,active_tour,13,100.0,,4,3,57.14,1.333,76.92,London,4,8.0,5.0,61.54,1.6,4.0,3.0,57.14,13.8,14.68,40.74,55.82,827.7,20.0,74619857.0,1629811,117928048,"indie rock, indie folk, folk, folk rock, indie"
BigXthaPlug,6,5,2,6,83.33,,active_tour,6,100.0,,0,6,0.0,0.0,0.0,Duluth,1,2.0,4.0,33.33,0.5,2.0,4.0,33.33,23.8,17.58,41.03,56.37,880.9,20.0,24945412.0,929893,32044265,"Hip-Hop, rap, texas, dallas, trap"
Billy Idol,1,0,1,1,0.0,56.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,El Cajon,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,39.31,66.29,79.35,2102.5,20.0,43710412.0,3024417,56225538,"rock, new wave, 80s, punk, classic rock"
Billy Joel,5,3,3,5,60.0,525.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Liverpool,1,0.0,5.0,0.0,0.0,0.0,5.0,0.0,27.8,12.81,46.35,61.9,984.0,20.0,94170654.0,4005717,126640522,"classic rock, singer-songwriter, rock, pop, piano"
Black Eyed Peas,1,1,1,1,100.0,137.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Milton Keynes,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,15.03,40.19,52.84,833.2,20.0,105626011.0,5662158,150122575,"Hip-Hop, pop, rnb, rap, hip hop"
Blondie,1,0,1,1,0.0,280.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,York,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,20.49,48.96,62.02,1034.6,20.0,52612251.0,3396653,73470469,"new wave, 80s, rock, female vocalists, pop"
Blood Orange,8,3,4,6,37.5,105.0,active_tour,7,87.5,1.0,1,5,16.67,0.2,28.57,Atlanta,2,0.0,8.0,0.0,0.0,0.0,6.0,0.0,27.7,26.09,44.77,54.61,1068.3,20.0,62772466.0,1937417,102257036,"chillwave, indie, rnb, alternative rnb, indie pop"
Bob Dylan,23,6,1,23,26.09,,active_tour,23,100.0,,0,23,0.0,0.0,0.0,Dothan,1,0.0,23.0,0.0,0.0,0.0,23.0,0.0,1.8,12.17,31.2,43.79,655.9,20.0,98464556.0,4269862,291246927,"folk, singer-songwriter, classic rock, folk rock, rock"
Bon Jovi,14,5,3,4,35.71,248.0,active_tour,14,100.0,,2,2,50.0,1.0,85.71,New York,9,4.0,10.0,28.57,0.4,2.0,2.0,50.0,4.9,20.57,51.15,65.43,1109.1,20.0,77968241.0,4212207,123698502,"rock, hard rock, classic rock, 80s, hair metal"
Bring Me the Horizon,18,8,5,17,44.44,221.0,active_tour,18,100.0,,1,16,5.88,0.062,11.11,Dessel,2,0.0,18.0,0.0,0.0,0.0,17.0,0.0,3.7,11.41,27.37,40.79,594.9,20.0,131026974.0,2792465,316889578,"deathcore, metalcore, screamo, hardcore, metal"
Britney Spears,4,4,1,4,100.0,316.0,active_tour,4,100.0,,0,4,0.0,0.0,0.0,Swansea,1,1.0,3.0,25.0,0.333,1.0,3.0,25.0,46.7,12.46,31.73,44.05,659.0,20.0,238553639.0,6378577,488468418,"pop, dance, female vocalists, Britney Spears, legend"
Bruce Springsteen,20,4,1,18,20.0,38.0,active_tour,20,100.0,,2,16,11.11,0.125,20.0,New York,2,0.0,20.0,0.0,0.0,0.0,18.0,0.0,3.0,15.56,36.22,53.95,795.4,20.0,62822360.0,3549214,149053031,"rock, classic rock, singer-songwriter, folk, 80s"
Bruno Mars,80,39,9,34,48.75,,active_tour,80,100.0,,25,9,73.53,2.778,88.75,London,6,15.0,65.0,18.75,0.231,4.0,30.0,11.76,3.1,10.79,26.57,42.04,610.7,20.0,228338417.0,5158847,289237152,"pop, rnb, male vocalists, r&b, slow jams"
Bryson Tiller,1,1,1,1,100.0,67.0,active_tour,1,100.0,,0,1,0.0,0.0,0.0,Abu Dhabi,1,1.0,0.0,100.0,,1.0,0.0,100.0,,22.03,45.28,61.9,1024.0,20.0,77549914.0,1675720,103079942,"rnb, Hip-Hop, trap, rap, soul"
Cage the Elephant,3,2,1,3,66.67,336.0,active_tour,3,100.0,,0,3,0.0,0.0,0.0,Saint Paul,1,0.0,3.0,0.0,0.0,0.0,3.0,0.0,61.0,23.59,44.93,57.86,1006.7,20.0,102065458.0,3348679,144421668,"indie rock, alternative, rock, indie, punk rock"
Calvin Harris,12,10,3,8,83.33,196.0,active_tour,12,100.0,,4,4,50.0,1.0,66.67,Glasgow,2,1.0,11.0,8.33,0.091,1.0,7.0,12.5,15.3,9.82,24.91,43.65,680.0,20.0,117062432.0,4947582,204057916,"electronic, dance, electro, Disco, electronica"
Cardi B,22,8,2,20,36.36,,active_tour,21,95.45,2.0,2,18,10.0,0.111,18.18,New York,2,1.0,21.0,4.55,0.048,1.0,19.0,5.0,1.9,22.45,43.13,59.21,985.7,20.0,65945095.0,2389266,77208403,"Hip-Hop, rap, trap, hip hop, american"
Cavetown,12,6,4,11,50.0,154.0,active_tour,10,83.33,2.0,1,10,9.09,0.1,16.67,London,2,3.0,9.0,25.0,0.333,2.0,9.0,18.18,20.8,16.29,38.86,54.82,839.6,20.0,57055075.0,1611788,86336800,"indie pop, pop, indie, bedroom pop, Lo-Fi"
Charli xcx,5,3,2,3,60.0,246.0,active_tour,5,100.0,,1,2,33.33,0.5,60.0,San Francisco,3,0.0,5.0,0.0,0.0,0.0,3.0,0.0,5.5,10.31,26.51,42.99,624.2,20.0,319320016.0,3710200,699811832,"pop, synthpop, electronic, female vocalists, Electroclash"
Charlie Puth,42,14,10,42,33.33,,active_tour,42,100.0,,0,42,0.0,0.0,0.0,Santa Barbara,1,5.0,37.0,11.9,0.135,5.0,37.0,11.9,2.4,9.89,71.63,80.25,3082.2,20.0,112351622.0,2415069,132542182,"pop, rnb, soul, american, USA"
Chevelle,36,11,3,36,30.56,,active_tour,36,100.0,,0,36,0.0,0.0,0.0,Birmingham,1,1.0,35.0,2.78,0.029,1.0,35.0,2.78,5.4,17.31,43.99,55.63,889.5,20.0,35198926.0,1807199,59221682,"alternative rock, alternative metal, rock, hard rock, alternative"
Chief Keef,2,1,1,2,50.0,,active_tour,2,100.0,,0,2,0.0,0.0,0.0,South Padre Island,1,0.0,2.0,0.0,0.0,0.0,2.0,0.0,55.0,21.61,41.89,60.78,987.9,20.0,66415638.0,1718448,137855374,"Hip-Hop, rap, drill, Gangsta Rap, trap"
Childish Gambino,5,0,1,5,0.0,843.0,active_tour,5,100.0,,0,5,0.0,0.0,0.0,Saint Paul,1,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,13.56,34.06,56.96,807.2,20.0,208185642.0,3749738,320094315,"Hip-Hop, rap, hip hop, indie, underground hip-hop"
