artist_name,track_name,rank,playcount
Kanye West,All of the Lights,8,21432432
Kanye West,POWER,9,21197867
Kanye West,Father Stretch My Hands Pt. 1,10,35396601
Kanye West,Runaway,11,25357665
Kanye West,All Falls Down,12,21332412
Kanye West,Homecoming,13,20218620
Kanye West,Devil in a New Dress,14,25089664
Kanye West,Champion,15,15351569
Kanye West,Through the Wire,16,15282151
Kanye West,Love Lockdown,17,10842512
Kanye West,Violent Crimes,18,23863026
Kanye West,Dark Fantasy,19,14237032
Kanye West,Black Skinhead,20,16946646
Rihanna,Don't Stop the Music,1,19313344
Rihanna,Only Girl (In the World),2,24480767
Rihanna,Umbrella,3,17159296
Rihanna,S&M,4,22362387
Rihanna,Disturbia,5,18236987
Rihanna,We Found Love,6,16506026
Rihanna,Rude Boy,7,14070229
Rihanna,Diamonds,8,15919929
Rihanna,Shut Up and Drive,9,12592999
Rihanna,Where Have You Been,10,14544214
Rihanna,Love on the Brain,11,18172142
Rihanna,Pon de Replay,12,9054572
Rihanna,Needed Me,13,16599070
Rihanna,Breakin' Dishes,14,15522463
Rihanna,SOS,15,9598963
Rihanna,Work,16,10167712
Rihanna,Stay,17,9691141
Rihanna,Take a Bow,18,7706719
Rihanna,FourFiveSeconds,19,7452705
Rihanna,Kiss It Better,20,15210462
Drake,One Dance,1,22291627
Drake,Best I Ever Had,2,12344073
Drake,Passionfruit,3,27675655
Drake,God's Plan,4,14502809
Drake,Hotline Bling,5,12389037
Drake,Forever,6,6657423
Drake,"Hold On, We're Going Home",7,14797561
Drake,Headlines,8,15304979
Drake,Jimmy Cooks (feat. 21 Savage),9,17386233
Drake,Over,10,6626781
Drake,Take Care,11,8031556
Drake,Nice for What,12,11962628
Drake,Rich Flex,13,11988344
Drake,Teenage Fever,14,12838018
Drake,Fair Trade (with Travis Scott),15,13684882
Drake,Marvins Room,16,10239902
Drake,Nonstop,17,8478931
Drake,IDGAF (feat. Yeat),18,10941981
Drake,In My Feelings,19,6573049
Drake,Yebba’s Heartbreak,20,11047530
"Tyler, The Creator",See You Again (feat. Kali Uchis),1,56116514
"Tyler, The Creator",EARFQUAKE,2,38629006
"Tyler, The Creator",ARE WE STILL FRIENDS?,3,31430472
"Tyler, The Creator",NEW MAGIC WAND,4,31689502
"Tyler, The Creator",BEST INTEREST,5,24180899
"Tyler, The Creator",Like Him (feat. Lola Young),6,21535291
"Tyler, The Creator","GONE, GONE / THANK YOU",7,21985161
"Tyler, The Creator",I THINK,8,21670242
"Tyler, The Creator",She,9,25922109
"Tyler, The Creator",RUNNING OUT OF TIME,10,17733059
"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),11,20986754
"Tyler, The Creator","STICKY (feat. GloRilla, Sexyy Red & Lil Wayne)",12,15377999
"Tyler, The Creator",Sugar On My Tongue,13,11863415
"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),14,15511122
"Tyler, The Creator",ST. CHROMA (feat. Daniel Caesar),15,14172118
"Tyler, The Creator",A BOY IS A GUN*,16,15410749
"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),17,16149990
"Tyler, The Creator",Rah Tah Tah,18,11406173
"Tyler, The Creator",NOID,19,10482753
"Tyler, The Creator",IGOR'S THEME,20,13166717
Lady Gaga,Poker Face,1,41159851
Lady Gaga,Bad Romance,2,38389254
Lady Gaga,Paparazzi,3,31841382
Lady Gaga,Just Dance,4,27863393
Lady Gaga,LoveGame,5,22080688
Lady Gaga,Alejandro,6,25038219
Lady Gaga,Judas,7,33524066
Lady Gaga,Telephone,8,22048822
Lady Gaga,Die with a Smile,9,30682329
Lady Gaga,Born This Way,10,22426570
Lady Gaga,Applause,11,20813750
Lady Gaga,Monster,12,15386914
Lady Gaga,Bloody Mary,13,15707965
Lady Gaga,Abracadabra,14,25655966
Lady Gaga,The Edge of Glory,15,10968130
Lady Gaga,Summerboy,16,8816107
Lady Gaga,Shallow,17,8706181
Lady Gaga,Rain on Me (with Ariana Grande),18,17758394
Lady Gaga,Government Hooker,19,11606833
Lady Gaga,Money Honey,20,6907981
Ariana Grande,7 rings,1,28342595
Ariana Grande,Into You,2,26167758
Ariana Grande,One Last Time,3,18175030
Ariana Grande,"thank u, next",4,21332189
Ariana Grande,Santa Tell Me,5,10402581
Ariana Grande,Dangerous Woman,6,17101693
Ariana Grande,Love Me Harder,7,15890101
Ariana Grande,we can't be friends (wait for your love),8,34522505
Ariana Grande,Side to Side,9,12965529
Ariana Grande,Break Free,10,12324907
Ariana Grande,Problem,11,10135087
Ariana Grande,no tears left to cry,12,20369322
Ariana Grande,positions,13,16569728
Ariana Grande,God is a woman,14,18438185
Ariana Grande,"break up with your girlfriend, i'm bored",15,16492257
Ariana Grande,"yes, and?",16,25676831
Ariana Grande,34+35,17,11585158
Ariana Grande,the boy is mine,18,24956226
Ariana Grande,needy,19,15327425
Ariana Grande,bloodline,20,13944532
Sabrina Carpenter,Espresso,1,54336221
Sabrina Carpenter,Please Please Please,2,35714297
Sabrina Carpenter,Taste,3,30841755
Sabrina Carpenter,Nonsense,4,28847373
Sabrina Carpenter,Feather,5,27824545
Sabrina Carpenter,Bed Chem,6,25641381
Sabrina Carpenter,Manchild,7,23064044
Sabrina Carpenter,Juno,8,25166446
Sabrina Carpenter,Tears,9,14783441
Sabrina Carpenter,Good Graces,10,17956584
Sabrina Carpenter,because i liked a boy,11,14998326
Sabrina Carpenter,Busy Woman,12,15427557
Sabrina Carpenter,When Did You Get Hot?,13,11648889
Sabrina Carpenter,Don’t Smile,14,14667172
Sabrina Carpenter,Coincidence,15,11043192
Sabrina Carpenter,Sharpest Tool,16,11164699
Sabrina Carpenter,Read your Mind,17,12202323
Sabrina Carpenter,Nobody’s Son,18,10855028
Sabrina Carpenter,House Tour,19,11016263
Sabrina Carpenter,Looking at Me,20,5590424
Charli xcx,360,1,33290800
Charli xcx,Guess featuring billie eilish,2,29033758
Charli xcx,Von dutch,3,31070834
Charli xcx,Apple,4,23194588
Charli xcx,365,5,22165776
Charli xcx,Boom Clap,6,9148010
Charli xcx,party 4 u,7,19817443
Charli xcx,Club classics,8,17603495
Charli xcx,B2b,9,18369808
Charli xcx,Sympathy is a knife,10,18335350
Charli xcx,"Girl, so confusing featuring lorde",11,15646173
Charli xcx,Talk talk,12,13112312
Charli xcx,Everything is romantic,13,13258047
Charli xcx,"Girl, so confusing",14,8993876
Charli xcx,Vroom Vroom,15,11539005
Charli xcx,I might say something stupid,16,7477844
Charli xcx,Rewind,17,7507230
Charli xcx,Mean girls,18,8169192
Charli xcx,Speed Drive (From Barbie the Album),19,9011373
Charli xcx,So I,20,6085166
Lana Del Rey,Summertime Sadness,1,34193633
Lana Del Rey,Video Games,2,30857237
Lana Del Rey,Young and Beautiful,3,26245694
Lana Del Rey,Born to Die,4,31502283
Lana Del Rey,West Coast,5,33847449
Lana Del Rey,Diet Mountain Dew,6,24611509
Lana Del Rey,Brooklyn Baby,7,29641760
Lana Del Rey,National Anthem,8,25335829
Lana Del Rey,Radio,9,22076280
Lana Del Rey,Doin' Time,10,25322420
Lana Del Rey,Cinnamon Girl,11,27612966
Lana Del Rey,Dark Paradise,12,19495235
Lana Del Rey,Blue Jeans,13,21398729
Lana Del Rey,Say Yes to Heaven,14,16640403
Lana Del Rey,Ultraviolence,15,22886227
Lana Del Rey,Off to the Races,16,18232080
Lana Del Rey,Pretty When You Cry,17,19226811
Lana Del Rey,Ride,18,18557582
Lana Del Rey,Let the Light In (feat. Father John Misty),19,22958335
Lana Del Rey,Norman fucking Rockwell,20,20881566
Arctic Monkeys,505,1,56685381
Arctic Monkeys,Do I Wanna Know?,2,44192897
Arctic Monkeys,Why'd You Only Call Me When You're High?,3,40794948
Arctic Monkeys,I Wanna Be Yours,4,41524327
Arctic Monkeys,Fluorescent Adolescent,5,33709607
Arctic Monkeys,R U Mine?,6,31884340
Arctic Monkeys,I Bet You Look Good on the Dancefloor,7,23462424
Arctic Monkeys,Mardy Bum,8,20295488
Arctic Monkeys,When the Sun Goes Down,9,19972656
Arctic Monkeys,Snap Out of It,10,20191447
Arctic Monkeys,No. 1 Party Anthem,11,23959529
Arctic Monkeys,Teddy Picker,12,17396027
Arctic Monkeys,Arabella,13,18480834
Arctic Monkeys,Brianstorm,14,16800825
Arctic Monkeys,Fake Tales of San Francisco,15,12385378
Arctic Monkeys,Dancing Shoes,16,11838451
Arctic Monkeys,Knee Socks,17,15130509
Arctic Monkeys,From the Ritz to the Rubble,18,12399934
Arctic Monkeys,A Certain Romance,19,11851387
Arctic Monkeys,The View from the Afternoon,20,11768946
Frank Ocean,Pink + White,1,58288032
Frank Ocean,Thinkin Bout You,2,35680648
Frank Ocean,Lost,3,31812290
Frank Ocean,Ivy,4,42711170
Frank Ocean,White Ferrari,5,39213270
Frank Ocean,Nights,6,41479566
Frank Ocean,Pyramids,7,23300306
Frank Ocean,Novacane,8,25677622
Frank Ocean,Chanel,9,24099023
Frank Ocean,Super Rich Kids,10,18496251
Frank Ocean,Self Control,11,32139933
Frank Ocean,Pink Matter,12,20116854
Frank Ocean,Godspeed,13,18331169
Frank Ocean,In My Room,14,20156379
Frank Ocean,Nikes,15,21044562
Frank Ocean,Crack Rock,16,15050329
Frank Ocean,Sweet Life,17,12619362
Frank Ocean,Bad Religion,18,13915877
Frank Ocean,Solo,19,18501315
Frank Ocean,Sierra Leone,20,11139892
Harry Styles,As It Was,1,41383922
Harry Styles,Watermelon Sugar,2,19577734
Harry Styles,Adore You,3,20186734
Harry Styles,Sign of the Times,4,17563684
Harry Styles,Falling,5,14416399
Harry Styles,Late Night Talking,6,16403037
Harry Styles,Golden,7,14960089
Harry Styles,Matilda,8,16600563
Harry Styles,Fine Line,9,15055684
Harry Styles,Satellite,10,15128414
Harry Styles,Lights Up,11,12765900
Harry Styles,Kiwi,12,9669402
Harry Styles,Sweet Creature,13,8507055
Harry Styles,Music for a Sushi Restaurant,14,9944405
Harry Styles,Cherry,15,10219006
Harry Styles,Little Freak,16,12583921
Harry Styles,Keep Driving,17,12722213
Harry Styles,Daylight,18,10933581
Harry Styles,From the Dining Table,19,10414441
Harry Styles,She,20,8157914
Billie Eilish,BIRDS OF A FEATHER,1,54338417
Billie Eilish,bad guy,2,20120743
Billie Eilish,WILDFLOWER,3,35013612
Billie Eilish,when the party's over,4,21874242
Billie Eilish,LUNCH,5,27271252
Billie Eilish,Happier Than Ever,6,28604440
Billie Eilish,CHIHIRO,7,31160197
Billie Eilish,ocean eyes,8,18041697
Billie Eilish,lovely (with Khalid),9,17893769
Billie Eilish,everything i wanted,10,21366076
